date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2025-01-31,2025,Q1 2025,BUY,PLTR,US,63.1792,82.49,USD,1.0362,5029.58,
2025-01-31,2025,Q1 2025,BUY,HOOD,US,100.3206,51.95,USD,1.0362,5029.58,
2025-01-31,2025,Q1 2025,BUY,IAG,IBEX,1149.7508,4.038,EUR,,4642.69,
2025-04-30,2025,Q2 2025,SELL,SAB,IBEX,1401.0014,2.564,EUR,,3592.17,31.35
2025-04-30,2025,Q2 2025,BUY,IDR,IBEX,159.3263,28.02,EUR,,4464.32,
2025-07-31,2025,Q3 2025,SELL,ASTS,US,222.099,53.17,USD,1.1416,10344.26,143.8
2025-07-31,2025,Q3 2025,BUY,AGX,US,37.1438,244.98,USD,1.1416,7970.83,
2025-10-31,2025,Q4 2025,SELL,IAG,IBEX,1149.7508,4.764,EUR,,5477.41,17.98
2025-10-31,2025,Q4 2025,SELL,AGX,US,37.1438,306.21,USD,1.1536,9859.41,23.69
2025-10-31,2025,Q4 2025,BUY,BE,US,87.5279,132.16,USD,1.1536,10027.46,
2025-10-31,2025,Q4 2025,BUY,UNI,IBEX,3955.6074,2.34,EUR,,9256.12,
